用电器,额定功率,运行时长,台数,正态分布,spring,summar,autum,winter,hour_per_day_start,hour_per_day_end
电脑,300,3,"1,3",3,1,1,1,1,12,21
洗衣机,400,0.1,"1,1",1,1,1,1,1,8,23
电吹风,1200,0.3,"1,1",0.5,1,1,1,1,20,23
电水壶,1500,0.5,"1,1",0.5,1,1,1,1,8,23
消毒柜,300,0.5,"0,1",0.5,1,1,1,1,8,23
热水器,2000,0.5,"0,1",0,1,0.5,1,1,18,22
电烫斗,1200,0.1,"1,1",0.5,1,1,1,1,8,23
电视机,150,3,"1,1",4,1,1,1,1,18,18
电冰箱,200,24,"1,1",0,1,1,1,1,0,0
电灯(早),20,2,"7,12",3,1,0.5,1,1.5,6,7
电灯(晚),20,8,"7,12",3,1,0.5,1,1.5,18,18
电饭煲,800,1,"1,1",1,1,1,1,1,18,18
空调,1200,4,"2,3",2,0,1,0,1,22,22
微波炉,1200,0.3,"1,1",0.5,1,1,1,1,12,12
浴霸,1000,0.5,"0,2",0.5,0,0,0,1,21,21
电炉,1000,1.5,"0,3",1.5,1,1,1,1,8,20